Timestamp,Initial seed,Algorithm,Nb. rows,Nb. columns,Density,Runtime,Communication cost,Key bit length
2023-04-28 10:20:53.431839,"[1486341340, 1486341340, 1486341340]",Quicksort,10,,,0.062789,91945,16
2023-04-28 10:20:54.122495,"[1486341340, 1486341340, 1486341340]",Batcher sort,10,,,0.131372,148009,16
2023-04-28 10:20:54.864404,"[1486341340, 1486341340, 1486341340]",Radix sort,10,,,0.075987,67643,8
2023-04-28 10:20:55.640606,"[1486341340, 1486341340, 1486341340]",Radix sort,10,,,0.179561,135828,16
2023-04-28 10:20:56.449356,"[1486341340, 1486341340, 1486341340]",Radix sort,10,,,0.303254,272199,32
2023-04-28 10:20:57.379819,"[1486341340, 1486341340, 1486341340]",Radix sort,10,,,0.437052,408595,48
2023-04-28 10:20:58.542164,"[1228962651, 1228962651, 1228962651]",Quicksort,30,,,0.141333,455105,16
2023-04-28 10:20:59.395676,"[1228962651, 1228962651, 1228962651]",Batcher sort,30,,,0.24424,706248,16
2023-04-28 10:21:00.327148,"[1228962651, 1228962651, 1228962651]",Radix sort,30,,,0.127641,160304,8
2023-04-28 10:21:01.102606,"[1228962651, 1228962651, 1228962651]",Radix sort,30,,,0.25156,322557,16
2023-04-28 10:21:01.986701,"[1228962651, 1228962651, 1228962651]",Radix sort,30,,,0.486705,647018,32
2023-04-28 10:21:03.207320,"[1228962651, 1228962651, 1228962651]",Radix sort,30,,,0.733869,971517,48
2023-04-28 10:21:04.629400,"[1363957683, 1363957683, 1363957683]",Quicksort,50,,,0.258103,943936,16
2023-04-28 10:21:05.515265,"[1363957683, 1363957683, 1363957683]",Batcher sort,50,,,0.465102,1525550,16
2023-04-28 10:21:06.591027,"[1363957683, 1363957683, 1363957683]",Radix sort,50,,,0.173595,252967,8
2023-04-28 10:21:07.398603,"[1363957683, 1363957683, 1363957683]",Radix sort,50,,,0.352851,509240,16
2023-04-28 10:21:08.485400,"[1363957683, 1363957683, 1363957683]",Radix sort,50,,,0.645778,1021867,32
2023-04-28 10:21:09.769546,"[1363957683, 1363957683, 1363957683]",Radix sort,50,,,0.989084,1534449,48
2023-04-28 10:21:11.395725,"[1246950452, 1246950452, 1246950452]",Quicksort,70,,,0.373802,1672059,16
2023-04-28 10:21:12.497209,"[1246950452, 1246950452, 1246950452]",Batcher sort,70,,,0.651919,2473479,16
2023-04-28 10:21:13.795739,"[1246950452, 1246950452, 1246950452]",Radix sort,70,,,0.223242,345612,8
2023-04-28 10:21:14.649245,"[1246950452, 1246950452, 1246950452]",Radix sort,70,,,0.414794,695986,16
2023-04-28 10:21:15.711652,"[1246950452, 1246950452, 1246950452]",Radix sort,70,,,0.819741,1396673,32
2023-04-28 10:21:17.158650,"[1246950452, 1246950452, 1246950452]",Radix sort,70,,,1.235312,2097393,48
2023-04-28 10:21:19.015804,"[2311075880, 2311075880, 2311075880]",Quicksort,90,,,0.450626,2095395,16
2023-04-28 10:21:20.090588,"[2311075880, 2311075880, 2311075880]",Batcher sort,90,,,0.868131,3541275,16
2023-04-28 10:21:21.694835,"[2311075880, 2311075880, 2311075880]",Radix sort,90,,,0.260882,438314,8
2023-04-28 10:21:22.713871,"[2311075880, 2311075880, 2311075880]",Radix sort,90,,,0.508727,882765,16
2023-04-28 10:21:23.887511,"[2311075880, 2311075880, 2311075880]",Radix sort,90,,,1.007574,1771695,32
2023-04-28 10:21:25.556409,"[2311075880, 2311075880, 2311075880]",Radix sort,90,,,1.494291,2660580,48
2023-04-28 10:21:27.657366,"[2345664438, 2345664438, 2345664438]",Quicksort,100,,,0.494774,2260863,16
2023-04-28 10:21:28.860693,"[2345664438, 2345664438, 2345664438]",Batcher sort,100,,,0.949577,4060629,16
2023-04-28 10:21:30.476537,"[2345664438, 2345664438, 2345664438]",Radix sort,100,,,0.277369,484649,8
2023-04-28 10:21:31.492710,"[2345664438, 2345664438, 2345664438]",Radix sort,100,,,0.547578,976125,16
2023-04-28 10:21:32.752915,"[2345664438, 2345664438, 2345664438]",Radix sort,100,,,1.118738,1959139,32
2023-04-28 10:21:34.525553,"[2345664438, 2345664438, 2345664438]",Radix sort,100,,,1.626,2942133,48
2023-04-28 10:21:36.774012,"[80740328, 80740328, 80740328]",Quicksort,300,,,1.722619,8936268,16
2023-04-28 10:21:39.184443,"[80740328, 80740328, 80740328]",Batcher sort,300,,,3.570247,18302752,16
2023-04-28 10:21:43.544385,"[80740328, 80740328, 80740328]",Radix sort,300,,,0.8337,1590298,8
2023-04-28 10:21:45.026853,"[80740328, 80740328, 80740328]",Radix sort,300,,,1.47084,2843455,16
2023-04-28 10:21:47.206803,"[80740328, 80740328, 80740328]",Radix sort,300,,,2.974488,5707750,32
2023-04-28 10:21:50.951862,"[80740328, 80740328, 80740328]",Radix sort,300,,,4.325976,8572115,48
2023-04-28 10:21:55.905756,"[1157103124, 1157103124, 1157103124]",Quicksort,500,,,3.053036,15913900,16
2023-04-28 10:21:59.682686,"[1157103124, 1157103124, 1157103124]",Batcher sort,500,,,6.602253,35153612,16
2023-04-28 10:22:06.958811,"[1157103124, 1157103124, 1157103124]",Radix sort,500,,,1.347869,2634579,8
2023-04-28 10:22:09.026721,"[1157103124, 1157103124, 1157103124]",Radix sort,500,,,2.356877,4710764,16
2023-04-28 10:22:12.196358,"[1157103124, 1157103124, 1157103124]",Radix sort,500,,,4.746206,9456423,32
2023-04-28 10:22:17.806685,"[1157103124, 1157103124, 1157103124]",Radix sort,500,,,7.089689,14201956,48
2023-04-28 10:22:25.534529,"[607852865, 607852865, 607852865]",Quicksort,700,,,5.325305,28639963,16
2023-04-28 10:22:31.542797,"[607852865, 607852865, 607852865]",Batcher sort,700,,,10.30262,55867804,16
2023-04-28 10:22:42.565869,"[607852865, 607852865, 607852865]",Radix sort,700,,,1.955551,3678993,8
2023-04-28 10:22:45.264802,"[607852865, 607852865, 607852865]",Radix sort,700,,,3.377253,6578423,16
2023-04-28 10:22:49.439317,"[607852865, 607852865, 607852865]",Radix sort,700,,,6.723666,13205612,32
2023-04-28 10:22:57.029118,"[607852865, 607852865, 607852865]",Radix sort,700,,,10.34209,19832738,48
2023-04-28 10:23:08.065440,"[2376171653, 2376171653, 2376171653]",Quicksort,900,,,7.059194,36435034,16
2023-04-28 10:23:15.773123,"[2376171653, 2376171653, 2376171653]",Batcher sort,900,,,14.121876,76386461,16
2023-04-28 10:23:30.631893,"[2376171653, 2376171653, 2376171653]",Radix sort,900,,,2.507254,4723140,8
2023-04-28 10:23:33.997546,"[2376171653, 2376171653, 2376171653]",Radix sort,900,,,4.272297,8445582,16
2023-04-28 10:23:39.106758,"[2376171653, 2376171653, 2376171653]",Radix sort,900,,,8.534738,16953880,32
2023-04-28 10:23:48.576621,"[2376171653, 2376171653, 2376171653]",Radix sort,900,,,13.133016,25462112,48
2023-04-28 10:24:02.339255,"[1789899462, 1789899462, 1789899462]",Quicksort,1000,,,7.701379,40475416,16
2023-04-28 10:24:10.690627,"[1789899462, 1789899462, 1789899462]",Batcher sort,1000,,,16.028812,86718890,16
2023-04-28 10:24:27.549783,"[1789899462, 1789899462, 1789899462]",Radix sort,1000,,,2.733849,5245232,8
2023-04-28 10:24:31.058733,"[1789899462, 1789899462, 1789899462]",Radix sort,1000,,,4.774596,9379099,16
2023-04-28 10:24:36.774051,"[1789899462, 1789899462, 1789899462]",Radix sort,1000,,,9.518219,18828201,32
2023-04-28 10:24:47.354204,"[1789899462, 1789899462, 1789899462]",Radix sort,1000,,,14.753013,28277014,48
2023-04-28 10:25:02.763679,"[3526080530, 3526080530, 3526080530]",Quicksort,3000,,,30.176587,146008874,16
2023-04-28 10:25:33.704294,"[3526080530, 3526080530, 3526080530]",Batcher sort,3000,,,65.004397,355136873,16
2023-04-28 10:26:39.683938,"[3526080530, 3526080530, 3526080530]",Radix sort,3000,,,8.615183,15689148,8
2023-04-28 10:26:49.406171,"[3526080530, 3526080530, 3526080530]",Radix sort,3000,,,15.434719,28054830,16
2023-04-28 10:27:06.309907,"[3526080530, 3526080530, 3526080530]",Radix sort,3000,,,30.277982,56319797,32
2023-04-28 10:27:38.354147,"[3526080530, 3526080530, 3526080530]",Radix sort,3000,,,45.885177,84584260,48
2023-04-28 10:28:24.883374,"[3217693741, 3217693741, 3217693741]",Quicksort,5000,,,55.814272,259951728,16
2023-04-28 10:29:21.458465,"[3217693741, 3217693741, 3217693741]",Batcher sort,5000,,,124.409366,670283009,16
2023-04-28 10:31:27.132259,"[3217693741, 3217693741, 3217693741]",Radix sort,5000,,,15.103446,26133556,8
2023-04-28 10:31:43.749923,"[3217693741, 3217693741, 3217693741]",Radix sort,5000,,,28.510486,49674383,16
2023-04-28 10:32:14.313254,"[3217693741, 3217693741, 3217693741]",Radix sort,5000,,,52.648523,93813732,32
2023-04-28 10:33:09.485392,"[3217693741, 3217693741, 3217693741]",Radix sort,5000,,,79.860163,140895237,48
2023-04-28 10:34:30.028382,"[2252540683, 2252540683, 2252540683]",Quicksort,7000,,,91.789766,393715695,16
2023-04-28 10:36:02.479784,"[2252540683, 2252540683, 2252540683]",Batcher sort,7000,,,193.624745,1009641376,16
2023-04-28 10:39:17.667360,"[2252540683, 2252540683, 2252540683]",Radix sort,7000,,,21.613335,36576784,8
2023-04-28 10:39:41.110484,"[2252540683, 2252540683, 2252540683]",Radix sort,7000,,,37.670365,65406694,16
2023-04-28 10:40:21.424005,"[2252540683, 2252540683, 2252540683]",Radix sort,7000,,,76.87589,131302872,32
2023-04-28 10:41:41.642133,"[2252540683, 2252540683, 2252540683]",Radix sort,7000,,,112.667435,197199239,48
2023-04-28 10:43:35.013007,"[759296115, 759296115, 759296115]",Quicksort,9000,,,128.847019,512800771,16
2023-04-28 10:45:44.549816,"[759296115, 759296115, 759296115]",Batcher sort,9000,,,259.668353,1373275521,16
2023-04-28 10:50:06.069254,"[759296115, 759296115, 759296115]",Radix sort,9000,,,29.220723,47020983,8
2023-04-28 10:50:37.526006,"[759296115, 759296115, 759296115]",Radix sort,9000,,,51.376166,84082658,16
2023-04-28 10:51:32.048025,"[759296115, 759296115, 759296115]",Radix sort,9000,,,102.334855,168794629,32
2023-04-28 10:53:18.459518,"[759296115, 759296115, 759296115]",Radix sort,9000,,,154.642628,253506533,48
2023-04-28 10:55:53.815207,"[838757935, 838757935, 838757935]",Quicksort,10000,,,144.166645,551799795,16
2023-04-28 10:58:18.712335,"[838757935, 838757935, 838757935]",Batcher sort,10000,,,297.055192,1567894608,16
2023-04-28 11:03:17.709451,"[838757935, 838757935, 838757935]",Radix sort,10000,,,32.39586,52243622,8
2023-04-28 11:03:52.543519,"[838757935, 838757935, 838757935]",Radix sort,10000,,,58.015593,93421337,16
2023-04-28 11:04:54.077013,"[838757935, 838757935, 838757935]",Radix sort,10000,,,115.660387,187542729,32
2023-04-28 11:06:54.159936,"[838757935, 838757935, 838757935]",Radix sort,10000,,,179.052215,281663780,48
2023-04-28 11:09:54.076778,"[1473825940, 1473825940, 1473825940]",Quicksort,30000,,,841.928427,1962186892,16
2023-04-28 11:23:56.892561,"[1473825940, 1473825940, 1473825940]",Batcher sort,30000,,,1212.620368,5858844525,16
2023-04-28 11:44:14.277674,"[1473825940, 1473825940, 1473825940]",Radix sort,30000,,,97.438826,156683072,8
2023-04-28 11:45:57.918549,"[1473825940, 1473825940, 1473825940]",Radix sort,30000,,,186.640733,297823553,16
2023-04-28 11:49:13.668901,"[1473825940, 1473825940, 1473825940]",Radix sort,30000,,,360.300993,562462486,32
2023-04-28 11:55:26.564819,"[1473825940, 1473825940, 1473825940]",Radix sort,30000,,,552.920535,844741823,48
2023-04-28 12:04:40.538308,"[3397185744, 3397185744, 3397185744]",Quicksort,50000,,,1899.258901,3343007029,16
2023-04-28 12:36:20.871560,"[3397185744, 3397185744, 3397185744]",Batcher sort,50000,,,2363.077615,10823687784,16
2023-04-28 13:15:51.607311,"[3397185744, 3397185744, 3397185744]",Radix sort,50000,,,167.801541,261123331,8
2023-04-28 13:18:49.544489,"[3397185744, 3397185744, 3397185744]",Radix sort,50000,,,320.282294,496344648,16
2023-04-28 13:24:24.813508,"[3397185744, 3397185744, 3397185744]",Radix sort,50000,,,619.122473,937384240,32
2023-04-28 13:35:04.036111,"[3397185744, 3397185744, 3397185744]",Radix sort,50000,,,963.309233,1407825747,48
2023-04-28 15:51:17.990241,"[3833472447, 3833472447, 3833472447]",Radix sort,70000,,,232.320854,365562487,8
2023-04-28 15:55:23.781206,"[3833472447, 3833472447, 3833472447]",Radix sort,70000,,,418.680375,653700654,16
2023-04-28 16:02:43.818908,"[3833472447, 3833472447, 3833472447]",Radix sort,70000,,,897.631302,1312301304,32
2023-04-28 16:18:09.366336,"[3833472447, 3833472447, 3833472447]",Radix sort,70000,,,1337.082188,1970901759,48
2023-04-28 16:40:39.795097,"[922801664, 922801664, 922801664]",Radix sort,90000,,,298.853433,470002984,8
2023-04-28 16:45:56.452593,"[922801664, 922801664, 922801664]",Radix sort,90000,,,576.206887,893384231,16
2023-04-28 16:55:59.273806,"[922801664, 922801664, 922801664]",Radix sort,90000,,,1130.346935,1687222620,32
2023-04-28 17:15:25.930488,"[922801664, 922801664, 922801664]",Radix sort,90000,,,1692.059698,2533985843,48
